content,score,label,clean
iklannya maksa,1,negatif,iklannya maksa
suka lag,1,negatif,suka lag
sangat bermanfaat,5,positif,sangat bermanfaat
GEMBELLLL LAGI ENAK BACA OTOMATIS PINDAH APK MULU. KURANGIN KEK GITU PLS,1,negatif,gembellll enak baca otomatis pindah apk mulu kurangin kek gitu pls
boikot sopi,1,negatif,boikot sopi
"untuk sekarang"" ini sopi krg bgus krna stiap yg aku psan selalu d ggalkn oleh pihak sopi.akhir nya aku gx bisa cod.pdhl jls batal sendri bkn d btlkn dri pembeli🙄sngt d sygkn skali",4,positif,sekarang sopi krg bgus krna stiap yg aku psan selalu d ggalkn pihak sopiakhir nya aku gx codpdhl jls batal sendri bkn d btlkn dri pembelisngt d sygkn skali
busukkk,1,negatif,busukkk
"udah males belanja di online, udah gak jelas enak dulu pesan banyak nyampe semua tepat waktu, pesan hari ini bisa di kirim 2-3 hari bahkan lebih,",2,negatif,udah males belanja online udah gak jelas enak dulu pesan banyak nyampe semua tepat waktu pesan hari bisa kirim  hari bahkan lebih
karna Singapore,1,negatif,karna singapore
"awalnya ssuka belanja pakai aplikasi ini, tp mulai kecewa, banyak toko yang sudah di order tidak memproses pengiriman sampai dibatalkan otomatis sistem. rugi waktu & rugi uang tertahan di aplikasi. apakah pihak Shopee tidak bisa menangani hal semacam ini???",3,netral,awalnya ssuka belanja pakai aplikasi tp mulai kecewa banyak toko sudah order memproses pengiriman dibatalkan otomatis sistem rugi waktu  rugi uang tertahan aplikasi pihak shopee bisa menangani semacam
"sering muncul iklan saat saya sedang bermain naga,sangat tidak cocok,kalo bisa promosi jangan keterlaluan,setiap saya memainkan game pasti selalu muncul🤬🤬🤬",1,negatif,sering muncul iklan sedang bermain nagasangat cocokkalo promosi jangan keterlaluansetiap saya memainkan game selalu muncul
"Aplikasi belanja online paling lengkap dengan promo gratis ongkir dan diskon yang melimpah. Fitur Live-nya seru buat nyari barang murah, dan metode pembayarannya pun sangat praktis.",5,positif,aplikasi belanja online paling lengkap promo gratis ongkir diskon melimpah fitur livenya seru buat nyari barang murah metode pembayarannya sangat praktis
nice,5,positif,nice
jelak banget,1,negatif,jelak banget
"aplikasi Shoope ini saya kasi bintang 1, masalah saya di shoope tidak ditangani dengan baik dan prosesnya tidak transparan. sepertinya pihak Shopee, jasa kirim dan pihak toko kerja sama untuk menipu saya.",1,negatif,aplikasi shoope kasi bintang  masalah di shoope ditangani baik prosesnya transparan sepertinya pihak shopee jasa kirim pihak toko kerja sama menipu saya
Aplikasi penjahat dalam selimut di NKRI,1,negatif,aplikasi penjahat selimut nkri
ok,5,positif,
sell Singapore,1,negatif,sell singapore
😡😡,1,negatif,
aplikasi jelek.... semakin lama semakin keluar sendiri..,1,negatif,aplikasi jelek semakin lama semakin keluar sendiri
bnykk iklan shope di web ilegal,1,negatif,bnykk iklan shope web ilegal
mantap,5,positif,mantap
antek² asing,1,negatif,antek asing
udah males belanaja disini spx nya pada gak becus kerja. cba input karyawan itu lebih diperhatiin lagi jgn asal terima orang. banyak banget kurir goblog di spx masih di piara,1,negatif,udah males belanaja disini spx nya gak becus kerja cba input karyawan lebih diperhatiin jgn asal terima orang banyak banget kurir goblog spx di piara
pengirimannya lama,1,negatif,pengirimannya lama
hell nahh!! for Singapore!!,1,negatif,hell nahh for singapore
membantu sekali buat gue yg mager keluar rumah,5,positif,membantu sekali buat gue yg mager keluar rumah
sellsingapore,1,negatif,sellsingapore
poko nya mantap,5,positif,poko nya mantap
Pelayanannya Buruk,1,negatif,pelayanannya buruk
easy to use,5,positif,easy to use
banyak iklan,1,negatif,banyak iklan
terbaik,5,positif,terbaik
selll singapura,1,negatif,selll singapura
aplikasi buat mensensarakan rakyat indonesia,1,negatif,aplikasi buat mensensarakan rakyat indonesia
singapore🤌,1,negatif,singapore
jelek burikk,1,negatif,jelek burikk
cuh,1,negatif,cuh
"pliss kak iklan nya jangan di bikin ribet, setiap buka apk lain selalu iklan shopee dan otomatis ke shopee nya, jujur kesel banget bye",1,negatif,pliss kak iklan nya jangan bikin ribet buka apk selalu iklan shopee otomatis shopee nya jujur kesel banget bye
"iklannya berlebihan, ngeganggu",1,negatif,iklannya berlebihan ngeganggu
sell Singapur,1,negatif,sell singapur
sagat bagus,4,positif,sagat bagus
ini penyebab dolar naik,1,negatif,penyebab dolar naik
"iklannya kurangi, ganggu soalnya",2,negatif,iklannya kurangi ganggu soalnya
sell,1,negatif,sell
sell Singapur,1,negatif,sell singapur
sangat menyenangkan,5,positif,sangat menyenangkan
murah murah,5,positif,murah murah
"hampir 80% toko banyak jual barang palsu, dan live barang original nya banyak bohong datang barang palsu salah satu nya toko riki yang jam nya palsu2 banyak boong nya",3,netral,hampir  toko banyak jual barang palsu live barang original nya banyak bohong datang barang palsu salah satu nya toko riki jam nya palsu banyak boong nya
sangat membantu saat sedang mager keluar rumah,5,positif,sangat membantu sedang mager keluar rumah
mantap,5,positif,mantap
"buat shopee tolong kasih nomor kurir nyaa soalnya rawan paket nya di ambil sama kurir² yang asal, bintang nya turun dulu",4,positif,buat shopee kasih nomor kurir nyaa soalnya rawan paket nya ambil sama kurir asal bintang nya turun dulu
memuaskan dan sangat membantu,5,positif,memuaskan sangat membantu
SANGAT BURUK. Buka aplikasi langsung tampil video,1,negatif,sangat buruk buka aplikasi langsung tampil video
Good,1,negatif,good
mbot,1,negatif,mbot
pengiriman lama,1,negatif,pengiriman lama
"Shopee mohon jika ada yg ingin isi shopepay,itu diliatinn nama penggunanya,biar ga ada kesalahan klo cuma ***** doank takutnya salah shopee menjual akun dengan memberikan no pada penipu",1,negatif,shopee mohon yg isi shopepayitu diliatinn nama penggunanyabiar ga ada kesalahan klo cuma  doank takutnya salah shopee menjual akun memberikan no penipu
"padahal sya sering blanja online dri shopee bayarnya, COD dan bayar dlu, tpi sya ingin aktifkan paylater atau pinjam dana tidak bisa meyakinkan shopee sehinggal gagal atau tidak di setujui. lbih baik hapus akun dan pindah aplikasi lain saja,",1,negatif,padahal sya sering blanja online dri shopee bayarnya cod bayar dlu tpi sya aktifkan paylater pinjam dana bisa meyakinkan shopee sehinggal gagal tidak setujui lbih baik hapus akun pindah aplikasi saja
"sangat membantu untuk barang-barang keperluan usaha, komunikasi, dan yg lainnya super duper murah dan terjangkau",5,positif,sangat membantu barangbarang keperluan usaha komunikasi yg lainnya super duper murah terjangkau
baik,5,positif,baik
"yang di beli kipas, yang dateng mobil remot woilah",2,negatif,di beli kipas dateng mobil remot woilah
"SHOPPE TOLONG YH, padahal gaada apus keranjang kuning ak tp malah keapus sendiri. jadi gtw kan apaaja whistlis ak",4,positif,shoppe yh padahal gaada apus keranjang kuning ak tp malah keapus sendiri jadi gtw kan apaaja whistlis ak
mau apus shope ahh babaiii,1,negatif,mau apus shope ahh babaiii
jelek,1,negatif,jelek
gkjls iklanny,1,negatif,gkjls iklanny
"stop ya shopee, iklan kmu itu terlalu menganggu di apk lain jadi tolong diperbaiki sistem pengiklanannya hufttttt",1,negatif,stop shopee iklan kmu terlalu menganggu apk jadi diperbaiki sistem pengiklanannya hufttttt
"saya retur barang karena cacat kok belum di ambil-ambil juga barang nya. aplikasi aneh sayang duit gw, banyak toko scam",1,negatif,retur barang cacat kok di ambilambil barang nya aplikasi aneh sayang duit gw banyak toko scam
Indonesia bangkit bantai ekonomi Singapore boikot apk prodak Singapore mereka prusahaan cangkang us #sellsingapore,1,negatif,indonesia bangkit bantai ekonomi singapore boikot apk prodak singapore prusahaan cangkang us sellsingapore
sell singapore,1,negatif,sell singapore
bnyk iklan,1,negatif,bnyk iklan
"kebanyakan iklan, maksa masuk aplikasi, sehari bisa 5 kali iklan bahkan bisa lebih",1,negatif,kebanyakan iklan maksa masuk aplikasi sehari  kali iklan bahkan lebih
Iklannya jelekkk,1,negatif,iklannya jelekkk
aplikasi yang egois dalam mempromosikan iklannya,1,negatif,aplikasi egois mempromosikan iklannya
sellsingapura,1,negatif,sellsingapura
"untuk pihak shopee yg terhormat, kalau bikin iklan, tolong jangan otomatis masuk ke aplikasi, kalian tidak tahu bahwa seseorang sedang menggunakan aplikasi lain yg digunakan untuk pekerjaan atau lainnya dan tidak sengaja muncul iklan dari shopee dan tiba-tiba masuk ke aplikasi shopee nya, lain kali jangan sampai begini",1,negatif,pihak shopee yg terhormat kalau bikin iklan jangan otomatis masuk aplikasi kalian tahu seseorang sedang menggunakan aplikasi yg digunakan pekerjaan lainnya tidak sengaja muncul iklan shopee tibatiba masuk aplikasi shopee nya kali jangan begini
apk ora jelas kirik,1,negatif,apk ora jelas kirik
IKLAN TROS SAMPE NGELAG,1,negatif,iklan tros sampe ngelag
Barangnya sesuai pesanan,1,negatif,barangnya sesuai pesanan
"Satu kata ""kecewa""",1,negatif,satu kata kecewa
"kirim barang lama, harga ongkir mahal banget, kurir nya jelek JANGAN DI DONWLOAD",1,negatif,kirim barang lama harga ongkir mahal banget kurir nya jelek jangan donwload
temm,1,negatif,temm
"saya,suka kali belanja disini murah dan terjamin,tapi kadang kadang dapat barang palsu dan ada penipuan",5,positif,sayasuka kali belanja disini murah terjamintapi kadang kadang barang palsu ada penipuan
sesuaii muarah banyak diskonn,5,positif,sesuaii muarah banyak diskonn
ajg,1,negatif,ajg
banyak bug,1,negatif,banyak bug
iklannya ganggu bgt jujur capek bgt mindah2in appnya krna kebuka mulu ni iklan shopee sangat2 mengganggu deh🙏,3,netral,iklannya ganggu bgt jujur capek bgt mindahin appnya krna kebuka mulu ni iklan shopee sangat mengganggu deh
suka sama toko orange ini 🥰,5,positif,suka sama toko orange 
"iklannya ganggu, mau di skip, di pencet x malah ke shoope, ga di skip juga malah kebuka shoopenya, pokoknya iklannya bener"" ganggu bgddd",1,negatif,iklannya ganggu mau skip pencet x malah shoope ga skip malah kebuka shoopenya pokoknya iklannya bener ganggu bgddd
licik juga ya,1,negatif,licik ya
kebanyakan iklan anjirr di apk lain juga nyampah bgt iklannya,1,negatif,kebanyakan iklan anjirr apk juga nyampah bgt iklannya
lama banget datang nya hadeh,1,negatif,lama banget datang nya hadeh
sell Singapura,1,negatif,sell singapura
sellsingapore,1,negatif,sellsingapore
mudah dimengerti dan dipahami,5,positif,mudah dimengerti dipahami
saya menggunakan shopee jadi lebih mudah untuk memesan barang barang yang jarang ada di kota ku,5,positif,menggunakan shopee jadi lebih mudah memesan barang barang jarang di kota ku
Apk sampahh banyak bug nya,1,negatif,apk sampahh banyak bug nya
aplikasi jelek,1,negatif,aplikasi jelek
Kami cinta tanah air🇲🇨,1,negatif,cinta tanah air
jelek,1,negatif,jelek
good,5,positif,good
kok mengalami kemunduran app,1,negatif,kok mengalami kemunduran app
Shopee lndonesia,5,positif,shopee lndonesia
lumayan,5,positif,lumayan
sangat membantu kebutuhan belanja online kita,5,positif,sangat membantu kebutuhan belanja online
min shoppe game nya khusus nya shopee bubble kok gak bisa dibuka ya min error terus,5,positif,min shoppe game nya khusus nya shopee bubble kok gak dibuka min error terus
paraaahh..,1,negatif,paraaahh
terlalu lag jika jaringan jelek walau hanya sedikit saja,1,negatif,terlalu lag jaringan jelek hanya sedikit
bagus,5,positif,bagus
"iklannya tolong di perbaiki.😌 saya lagi main game Yang butuh kesabaran tinggi,dan iklan ini muncul,saya tau ini akhir dari permainan saya dan akhirnya saya di paksa keluar game hanya untuk iklan shopee yang sudah saya download.sekarang saya uninstall dan milih ke tokopedia yanh lebih ramah iklan.(maksa bet udah terkenal masa iklan di kasih tombol,HAY itu untuk iklan khusus aplikasi miskin)",1,negatif,iklannya perbaiki lagi main game butuh kesabaran tinggidan iklan munculsaya tau akhir permainan akhirnya di paksa keluar game untuk iklan shopee sudah downloadsekarang uninstall dan milih tokopedia yanh lebih ramah iklanmaksa bet udah terkenal masa iklan di kasih tombolhay untuk iklan khusus aplikasi miskin
"Tolong bagi yang bersangkutan buatlah iklan yang lebih pendek atau tombol skip yang diperbesar. Saya sudah muak dengan semua iklan anda sampai skripsi saya hilang!. Saya menggunakan salah satu website agar mudah mengerjakan skripsi saya dan karena iklan anda tidak sengaja tiba-tiba terhapus!. Dan karena itu juga saya tepaksa mengulangi skripsi sebanyak 10 bab!. Dan lagi pula kenapa sampai iklannya masuk situs bokep!, SAYA MAU REFRESHING LEWAT HAL TERLARANG SAJA TERGANGGU!. intinya saya kecewa!.",1,negatif,bagi bersangkutan buatlah iklan lebih pendek tombol skip diperbesar sudah muak semua iklan skripsi hilang menggunakan salah satu website mudah mengerjakan skripsi iklan tidak sengaja tibatiba terhapus karena juga tepaksa mengulangi skripsi sebanyak  bab dan lagi kenapa sampai iklannya masuk situs bokep mau refreshing lewat terlarang terganggu intinya kecewa
Goood jobbb,5,positif,goood jobbb
lelet,1,negatif,lelet
"mohon iklan nya di kondisikan mau itu di website mau itu di game di apk lain tolong di kondisikan untuk tombol ""X"" nya itu lebih gampang di pencet,dengan itu saya bisa menerima bila ada iklan shopee mau itu di apk ataupun bukan,tolong ini untuk semua manusia bukan hanya saya saja karna bukan saya saja yang merasakan kesusahan saat menekan tombol ""X"".itu saja semoga bisa di lakukan segera untuk kenyamanan seluruh umat Indonesia",2,negatif,mohon iklan nya kondisikan mau website mau game apk tolong di kondisikan tombol x nya lebih gampang di pencetdengan menerima bila iklan shopee mau di apk ataupun bukantolong semua manusia bukan saya karna bukan saya merasakan kesusahan menekan tombol xitu saja semoga di lakukan segera untuk kenyamanan seluruh umat indonesia
#SELLSINGAPURA🔥 GANTI SAMA TOKO HIJAU AJA LAH,1,negatif,sellsingapura ganti sama toko hijau aja lah
mantabs sangat membantu pas lagi mager keluar,5,positif,mantabs sangat membantu pas mager keluar
Singapore anjingg,1,negatif,singapore anjingg
terima kasih,5,positif,terima kasih
tidak bisa COD lg gara nolak barang karna salah beli,1,negatif,bisa cod lg gara nolak barang karna salah beli
mahal segala mahal hapus dah apk Singapura ini,1,negatif,mahal segala mahal hapus dah apk singapura
"iklannya sangat meresahkan, menganggu, sangat memaksakan.",1,negatif,iklannya sangat meresahkan menganggu sangat memaksakan
cuman akun saya gak bisa buat paylaatter karena KTP saya terkait akun yg lama HP hilang,5,positif,cuman akun gak buat paylaatter ktp terkait akun yg lama hp hilang
#akan saya lawan,5,positif,saya lawan
mantap,5,positif,mantap
apk gal jelas,1,negatif,apk gal jelas
anjayyy,1,negatif,anjayyy
Toko penipuan masih dipelihara.,1,negatif,toko penipuan dipelihara
pokonya sangat membantu,5,positif,pokonya sangat membantu
ok pokoknya skrg...dah ada perbaikan dr shoppeee...kasoh bintang 4,4,positif,pokoknya skrgdah perbaikan dr shoppeeekasoh bintang 
"mohon iklan nya di hapus atau di update karena saya setiap mau menonton film dengan melewati link, selalu saja pindah sendiri ke aplikasi shopee",1,negatif,mohon iklan nya hapus di update saya mau menonton film melewati link selalu pindah sendiri aplikasi shopee
dimana² ada iklan ni aplikasi bikin badmood,1,negatif,ada iklan ni aplikasi bikin badmood
bagus buat jual beli tapi lambat,4,positif,bagus buat jual beli lambat
APK ANJG DIMANA MANA ADA LU NGENTD MASA GW BUKA GOOGLE KE SHOOPE BUKA APK ANIME KE SHOPEE APA APA KE SHOPE ANJG GAJELAS MENKALAR GITU ILKLANNYA TOL0L,1,negatif,apk anjg mana lu ngentd masa gw buka google shoope buka apk anime shopee apa apa shope anjg gajelas menkalar gitu ilklannya toll
apk g ngotak asli. kalo bikin iklan yang masuk akal aja! masa setiap situs setiap apk iklannya ke shope. tugas diedit Berjam jam mana mepet deadline jadi ilang kan. sebenarnya g ada bintang buat apk ini. tpi terpaksa biar bisa di up,1,negatif,apk g ngotak asli kalo bikin iklan masuk akal aja masa situs apk iklannya shope tugas diedit berjam jam mana mepet deadline jadi ilang kan sebenarnya g bintang buat apk tpi terpaksa biar di up
top banget,5,positif,top banget
apk hama so soan mau sell Indonesia tapi lu masih bergantung listrik ama indo,1,negatif,apk hama so soan mau sell indonesia lu bergantung listrik ama indo
senang sekali berbelanja di shopee murah meriah,5,positif,senang sekali berbelanja shopee murah meriah
apk makin lemot,3,netral,apk makin lemot
ikut trend,1,negatif,ikut trend
belik sempak mau yg warna pink malah di kasi warna item ngk jelas di apk,1,negatif,belik sempak mau yg warna pink malah kasi warna item ngk jelas apk
tidak enak gak ada es sawit muda 🗿,1,negatif,enak gak es sawit muda 
harus 2x scan barcode baru bisa,5,positif,x scan barcode baru
aplikasi gampang dan mudah digunakan,5,positif,aplikasi gampang mudah digunakan
"kadang klo dia iklah di app lain susah bgt di teken nya buat tekan ""X"" nya bnci.",2,negatif,kadang klo iklah app susah bgt teken nya buat tekan x nya bnci
scam marketplace,1,negatif,scam marketplace
"Sorry unistall,lagi boycot produk Singapura!! #SellSingapura",1,negatif,sorry unistalllagi boycot produk singapura sellsingapura
shopee indonesia mantap👍👍,5,positif,shopee indonesia mantap
jelek #sellsingapore #buyindonesia,1,negatif,jelek sellsingapore buyindonesia
SELL,1,negatif,sell
"aplikasi gak jelas! aku main shopee blockzi nya, trs ketika udah mau menang dan dapet koin malah di buat stuck🙄🙄 kalau emng ga niat ngasih koin gausah adain game ga jelas gitu! aplikasi scam ya ini🙄💔❗",2,negatif,aplikasi gak jelas aku main shopee blockzi nya trs udah mau menang dapet koin malah buat stuck kalau emng ga niat ngasih koin gausah adain game ga jelas gitu aplikasi scam ini
ikut trend,5,positif,ikut trend
njs.,1,negatif,njs
lemot parah,1,negatif,lemot parah
ok,5,positif,
sellsingapura,1,negatif,sellsingapura
mantap...shopee is the best.,5,positif,mantapshopee is the best
jelek,1,negatif,jelek
jelek bapuk bapuk,1,negatif,jelek bapuk bapuk
"game shopee gak masuk akal, hati2 aja yg mau main.. habis waktu, kuota tenaga😁",1,negatif,game shopee gak masuk akal hati aja yg mau main habis waktu kuota tenaga
made in Singapore is bad,1,negatif,made in singapore is bad
"woiklah pembuat ekonomi indo melemah, klo udh kuat gue kasi bintang 5",1,negatif,woiklah pembuat ekonomi indo melemah klo udh kuat gue kasi bintang 
jelek,1,negatif,jelek
boikot mahal mahal brngny,1,negatif,boikot mahal mahal brngny
bikin ngelag hp ku aja,1,negatif,bikin ngelag hp ku aja
sell Singapur,1,negatif,sell singapur
Saye ok je.,5,positif,saye je
shopee is the best,5,positif,shopee is the best
SANGAT AMAT BURUK,1,negatif,sangat buruk
kereset semua tugas presentasi ku gara gara iklan lu anj,1,negatif,kereset semua tugas presentasi ku gara gara iklan lu anj
bisa nggak sih kalo bikin iklan nggak langsung masuk ke shopee. bikin masalah,1,negatif,sih kalo bikin iklan nggak langsung masuk shopee bikin masalah
aplikasinya sangatlah melecehkan,1,negatif,aplikasinya sangatlah melecehkan
"mudah2an banyak yang sadar buat belanja di aplikasi buatan anak bangsa aja, mulai sekarang kurangi kalo perlu stop pakai atau belanja punya negara yg memperbudak indo",1,negatif,mudahan banyak sadar buat belanja aplikasi buatan anak bangsa aja mulai sekarang kurangi kalo perlu stop pakai belanja punya negara yg memperbudak indo
not good,1,negatif,not good
"""Saya cukup kecewa dengan layanan pengiriman. Banyak pesanan yang sudah dikirim ke customer tiba-tiba dibatalkan oleh kurir tanpa alasan yang jelas. Selain itu, barang retur sering kembali dalam kondisi tidak lengkap atau ada yang hilang. Waktu pengiriman juga sering terlambat dari estimasi. Sebagai penjual, hal ini sangat merugikan karena menghabiskan waktu, biaya, dan tenaga. Semoga ke depannya kualitas layanan pengiriman dan penanganan retur dapat diperbaiki agar lebih aman dan profesional.""",2,negatif,cukup kecewa layanan pengiriman banyak pesanan sudah dikirim customer tibatiba dibatalkan kurir alasan jelas itu barang retur sering dalam kondisi lengkap ada hilang waktu pengiriman sering terlambat estimasi penjual ini sangat merugikan menghabiskan waktu biaya tenaga semoga depannya kualitas layanan pengiriman penanganan retur diperbaiki lebih aman profesional
saya sering kena scam tanda silang di iklan shopee😑,2,negatif,sering kena scam tanda silang iklan shopee
sellsingapore,1,negatif,sellsingapore
boikot,1,negatif,boikot
buruk,1,negatif,buruk
sel singapura,1,negatif,sel singapura
tolong iklan jangan merajalela setiap aku baca komik dan tiba² ada iklan shope alhasil hilang judul komik,1,negatif,iklan jangan merajalela aku baca komik tiba iklan shope alhasil hilang judul komik
sell Singapur,1,negatif,sell singapur
"jasa pengirimanya yang di rekomendasi shope sudah nga jelas,sudah tau jasa pengirimanya jelek malah msih di pertahankan,,estimasi berubah2 sampai 3 x berubah,,lacak barang malah nga di update2 sampai 4 hari,,kadang barang yg di krim penjual tidak sesuai",1,negatif,jasa pengirimanya rekomendasi shope nga jelassudah tau jasa pengirimanya jelek malah msih pertahankanestimasi berubah  x berubahlacak barang malah nga update  harikadang barang yg di krim penjual sesuai
kalian promosi lewat iklan boleh saja tapi jangan susah untuk di skip,1,negatif,kalian promosi lewat iklan saja jangan susah di skip
apk GK guna,1,negatif,apk gk
g*bl*k banget endors sarwendah,1,negatif,gblk banget endors sarwendah
beli parfum yang datang baju gimanasih,1,negatif,beli parfum datang baju gimanasih
tidak bagus,1,negatif,bagus
Indonesia emas,1,negatif,indonesia emas
bagus banget sih dan ngebantu banget apknya tapi kenapa gak ada gambarnya. setiap di buka gak ada gambar produknya. udah banyak cara di coba tapi ujung ujungnya balik ke setelah awal lagi. mohon mengatasi masalah ini 🙏,3,netral,bagus banget sih ngebantu banget apknya kenapa gak gambarnya buka gak gambar produknya udah banyak cara di coba ujung ujungnya balik setelah awal mohon mengatasi masalah 
taii main game block disengaja kalah sama sistemnya jgn ada yg main event shoope dijamin nyesel,1,negatif,taii main game block disengaja kalah sama sistemnya jgn yg main event shoope dijamin nyesel
aplikasi jelek,1,negatif,aplikasi jelek
sel singapora,1,negatif,sel singapora
baik,5,positif,baik
jelek,1,negatif,jelek
sell Singapore,1,negatif,sell singapore
shopee Joss jiss,5,positif,shopee joss jiss
iklan nya nongol dimana2 :<,1,negatif,iklan nya nongol 
tolong iklanya gampang diskip soalnya saya sedang editing kelas buat tugas besok tiba² muncul iklan shoppe pas teken skip malah masuk ke aplikasi ini jadinya kereset dan tugasnya hilang itu sy bikin dari sore ampe malam.. saya bener² kecewa sekali,1,negatif,iklanya gampang diskip soalnya sedang editing kelas buat tugas besok tiba muncul iklan shoppe pas teken skip malah masuk aplikasi jadinya kereset tugasnya hilang sy bikin sore ampe malam bener kecewa sekali
eh ha'ah lah,1,negatif,eh haah lah
game blok taek,1,negatif,game blok taek
bobrok,1,negatif,bobrok
iklan lo ngeganggu banget.,1,negatif,iklan lo ngeganggu banget
buruk,1,negatif,buruk
lumayan puas belanja di toko ini.,5,positif,lumayan puas belanja toko
iklannya dimana mana nyebelin banget sumpah padahal gamencet apa apa tiba-tiba masuk sopi aneh,1,negatif,iklannya mana nyebelin banget sumpah padahal gamencet apa apa tibatiba masuk sopi aneh
ciuh,1,negatif,ciuh
"terlalu mahal, barang sering kena tipu anjj",1,negatif,terlalu mahal barang sering kena tipu anjj
SEMAKIN KEREN SHOPEE KU.....,5,positif,semakin keren shopee ku
"iklan ganggu, sellsingapore",1,negatif,iklan ganggu sellsingapore
"lebih bagus tokopedia,",1,negatif,lebih bagus tokopedia
boikot,1,negatif,boikot
"hilangin iklan² nya dong, ganggu",1,negatif,hilangin iklan nya dong ganggu
gasuka aja.banyak iklannya,1,negatif,gasuka ajabanyak iklannya
Sekelas aplikasi lo masih banyak yg seller penipu ngajak transaksi luar shopee....kagak lo periksa apah yg dagang.....baikin lagi bro sis keamanannya..,1,negatif,sekelas aplikasi lo banyak yg seller penipu ngajak transaksi luar shopeekagak lo periksa apah yg dagangbaikin bro sis keamanannya
not good,1,negatif,not good
PUSING BANGET KALO BARU BUKA SHOPEE SUKA TIBA TIBA LANGSUNG KE TOKO ORANG.maksud nya apa coba? PUSING TAU GAK? padahal belum tekan apa apa tapi tiba tiba ke toko orang,1,negatif,pusing banget kalo baru buka shopee suka tiba tiba langsung toko orangmaksud nya apa coba pusing tau gak padahal tekan apa apa tiba tiba toko orang
bangkeee,1,negatif,bangkeee
apk jlk,1,negatif,apk jlk
saya beli baju yg datang malah daleman emak emak lebih woth it tokopedia,1,negatif,beli baju yg datang malah daleman emak emak lebih woth it tokopedia
Buy Indonesian product!!!,1,negatif,buy indonesian product
sell Singapura,1,negatif,sell singapura
banyak barang KW,1,negatif,banyak barang kw
animasi sampah muncul iklan dimana mana menganggu dan hadiah nya banyak yg xoax,1,negatif,animasi sampah muncul iklan mana menganggu hadiah nya banyak yg xoax
iklan lo itu ga ngotak mau nonton bokep aja di persulit elu,1,negatif,iklan lo ga ngotak mau nonton bokep aja persulit elu
"bagus min nanti Bintang 🌟 nya kapan"" ya",1,negatif,bagus min bintang  nya kapan
asli sih iklan shopee maksa bgt jing gw buka aplikasi aja kena iklan shopee trs😐 mending hapus aja ni aplikasi 🥱🥱,1,negatif,asli sih iklan shopee maksa bgt jing gw buka aplikasi aja kena iklan shopee trs mending hapus aja ni aplikasi 
KAMNTB.😡😡😡,1,negatif,kamntb
jelek,1,negatif,jelek
stupid country,1,negatif,stupid country
risih sama iklannya,2,negatif,risih sama iklannya
RATE 1 WOYYYY JELEK NI APK DRI SINGAPORE SETAN KESELLL GWW,1,negatif,rate  woyyyy jelek ni apk dri singapore setan keselll gww
buy Indonesia,1,negatif,buy indonesia
baik,5,positif,baik
karna pake sarwendah,1,negatif,karna pake sarwendah
paket suka tidak sesuai dgn yg di pesan. kurir juga tdak ramah,1,negatif,paket suka sesuai dgn yg pesan kurir tdak ramah
"tolong ya shopee untuk bagian iklan yang muncul di aplikasi lain tolong jangan bikin ganggu.. nongol iklan mah nongol aja gak usah sampe masuk aplikasinya. kita² juga gak bodoh, kalo butuh ya pasti langsung ke aplikasinya langsung. tolong diperbaiki YAH, JANGAN BIKIN KESEL, JANGAN SAMPAI KITA DOA'NYA GAK NGGAK² BUAT NIH APLIKASI.. PAHAM!!",1,negatif,shopee bagian iklan muncul aplikasi jangan bikin ganggu nongol iklan mah nongol aja gak usah sampe masuk aplikasinya juga gak bodoh kalo butuh ya pasti langsung aplikasinya langsung tolong diperbaiki yah jangan bikin kesel jangan kita doanya gak buat nih aplikasi paham
kurang menarik,1,negatif,kurang menarik
"risih sama iklannya, kamu itu apk hual beli terkenal, ngga usah kebanyakan iklan pea",1,negatif,risih sama iklannya kamu apk hual beli terkenal ngga usah kebanyakan iklan pea
"Sebelumnya mohon maaf. Saya ingin mengajukan keluhan terkait pesanan saya yang bernilai cukup besar. Berdasarkan pelacakan, paket sudah tiba di kota saya pukul 08.10, namun pada pukul 17.23 justru dinyatakan hilang. Ibu saya telah menunggu barang tersebut hampir 1 bulan. Penjual juga menyampaikan bahwa barang sulit ditemukan dan harganya terus naik, serta telah menghubungi pihak SPX. Mohon dilakukan penelusuran dan penyelesaian atas permasalahan ini.",1,negatif,sebelumnya mohon maaf ingin mengajukan keluhan terkait pesanan yang bernilai cukup besar berdasarkan pelacakan paket tiba kota pukul  pada pukul  justru dinyatakan hilang ibu telah menunggu barang tersebut hampir  bulan penjual menyampaikan barang sulit ditemukan harganya terus naik telah menghubungi pihak spx mohon dilakukan penelusuran penyelesaian atas permasalahan
sell Singapore,1,negatif,sell singapore
boikot aja jir apk kyk gini njs Singapore cak pepek lolo,1,negatif,boikot aja jir apk kyk gini njs singapore cak pepek lolo
iklannya ganggu,1,negatif,iklannya ganggu
woi lah kasih notif tiap menit..,1,negatif,woi lah kasih notif tiap menit
"untuk belanja bagus, tapi iklan shopee di apk lain sangat menjengkelkan, tombol × malah lari ke shopee. Bisa gk sih buat iklan yg bener.. justru klw iklan menjenglelkan gitu, apk ini bisa di benci..",2,negatif,belanja bagus iklan shopee apk sangat menjengkelkan tombol  malah lari shopee gk sih buat iklan yg bener justru klw iklan menjenglelkan gitu apk bisa benci
dislake,1,negatif,dislake
sell Singapore,1,negatif,sell singapore
